# sky130 pfet_01v8 gm/ID Processed Lookup Table
# Corner: tt
# Temperature: 25C
# W = 2.0 um
# L = 1 um (1000 nm)
# Columns: gm/id [1/V]  gm/gds [V/V]  id/W [A/m]  ft [Hz]  Cgg/W [F/m]  Cgd/W [F/m]  Cgs/W [F/m]  Cdb/W [F/m]  vgs [V]  vth [V]  vdsat [V]
# vdsat = BSIM4 saturation voltage (|VDS|_sat, positive); use for headroom / saturation / cascode-bias calculations
#           gm/id          gm/gds            id/W              ft           Cgg/W           Cgd/W           Cgs/W           Cdb/W             vgs             vth           vdsat
    1.931388e+00    3.669097e+00    1.963907e+01    9.715837e+08    6.213415e-09    3.974390e-10    5.799500e-09    5.914525e-10   -1.800000e+00    9.937808e-01    7.082402e-01
    1.973097e+00    3.894994e+00    1.925977e+01    9.761072e+08    6.196150e-09    3.740975e-10    5.800225e-09    5.880470e-10   -1.790000e+00    9.937808e-01    6.997709e-01
    2.016041e+00    4.144090e+00    1.887908e+01    9.802881e+08    6.179405e-09    3.518118e-10    5.800485e-09    5.847470e-10   -1.780000e+00    9.937808e-01    6.913085e-01
    2.060111e+00    4.419348e+00    1.849823e+01    9.840916e+08    6.163185e-09    3.305778e-10    5.800285e-09    5.815540e-10   -1.770000e+00    9.937808e-01    6.828531e-01
    2.105335e+00    4.724101e+00    1.811696e+01    9.874820e+08    6.147485e-09    3.103855e-10    5.799625e-09    5.784680e-10   -1.760000e+00    9.937808e-01    6.744044e-01
    2.151699e+00    5.062066e+00    1.773543e+01    9.904218e+08    6.132295e-09    2.912196e-10    5.798525e-09    5.754895e-10   -1.750000e+00    9.937808e-01    6.659625e-01
    2.199177e+00    5.437379e+00    1.735378e+01    9.928699e+08    6.117615e-09    2.730603e-10    5.796995e-09    5.726170e-10   -1.740000e+00    9.937808e-01    6.575271e-01
    2.247737e+00    5.854560e+00    1.697221e+01    9.947872e+08    6.103425e-09    2.558833e-10    5.795035e-09    5.698495e-10   -1.730000e+00    9.937808e-01    6.490983e-01
    2.297338e+00    6.318531e+00    1.659087e+01    9.961327e+08    6.089715e-09    2.396610e-10    5.792665e-09    5.671855e-10   -1.720000e+00    9.937808e-01    6.406759e-01
    2.347934e+00    6.834549e+00    1.620998e+01    9.968685e+08    6.076460e-09    2.243627e-10    5.789900e-09    5.646230e-10   -1.710000e+00    9.937808e-01    6.322599e-01
    2.399475e+00    7.408132e+00    1.582974e+01    9.969566e+08    6.063650e-09    2.099555e-10    5.786740e-09    5.621580e-10   -1.700000e+00    9.937808e-01    6.238502e-01
    2.451909e+00    8.044967e+00    1.545040e+01    9.963647e+08    6.051260e-09    1.964042e-10    5.783205e-09    5.597890e-10   -1.690000e+00    9.937808e-01    6.154466e-01
    2.505187e+00    8.750772e+00    1.507217e+01    9.950650e+08    6.039270e-09    1.836729e-10    5.779300e-09    5.575115e-10   -1.680000e+00    9.937808e-01    6.070492e-01
    2.559263e+00    9.531126e+00    1.469531e+01    9.930367e+08    6.027655e-09    1.717243e-10    5.775040e-09    5.553230e-10   -1.670000e+00    9.937808e-01    5.986579e-01
    2.614106e+00    1.039130e+01    1.432006e+01    9.902679e+08    6.016385e-09    1.605208e-10    5.770435e-09    5.532190e-10   -1.660000e+00    9.937808e-01    5.902724e-01
    2.669692e+00    1.133604e+01    1.394671e+01    9.867525e+08    6.005440e-09    1.500250e-10    5.765485e-09    5.511955e-10   -1.650000e+00    9.937808e-01    5.818929e-01
    2.726018e+00    1.236944e+01    1.357549e+01    9.824940e+08    5.994795e-09    1.401996e-10    5.760205e-09    5.492490e-10   -1.640000e+00    9.937808e-01    5.735192e-01
    2.783097e+00    1.349475e+01    1.320665e+01    9.775053e+08    5.984420e-09    1.310078e-10    5.754595e-09    5.473745e-10   -1.630000e+00    9.937808e-01    5.651512e-01
    2.840958e+00    1.471428e+01    1.284046e+01    9.718053e+08    5.974290e-09    1.224138e-10    5.748670e-09    5.455685e-10   -1.620000e+00    9.937808e-01    5.567889e-01
    2.899654e+00    1.602941e+01    1.247715e+01    9.654206e+08    5.964375e-09    1.143827e-10    5.742425e-09    5.438265e-10   -1.610000e+00    9.937808e-01    5.484322e-01
    2.959250e+00    1.744053e+01    1.211695e+01    9.583813e+08    5.954655e-09    1.068808e-10    5.735860e-09    5.421440e-10   -1.600000e+00    9.937808e-01    5.400810e-01
    3.019832e+00    1.894718e+01    1.176008e+01    9.507226e+08    5.945100e-09    9.987575e-11    5.728985e-09    5.405175e-10   -1.590000e+00    9.937808e-01    5.317353e-01
    3.081497e+00    2.054819e+01    1.140675e+01    9.424820e+08    5.935680e-09    9.333635e-11    5.721800e-09    5.389415e-10   -1.580000e+00    9.937808e-01    5.233950e-01
    3.144358e+00    2.224186e+01    1.105714e+01    9.336966e+08    5.926375e-09    8.723310e-11    5.714295e-09    5.374125e-10   -1.570000e+00    9.937808e-01    5.150600e-01
    3.208534e+00    2.402609e+01    1.071145e+01    9.244047e+08    5.917155e-09    8.153780e-11    5.706470e-09    5.359265e-10   -1.560000e+00    9.937808e-01    5.067304e-01
    3.274158e+00    2.589874e+01    1.036984e+01    9.146436e+08    5.907990e-09    7.622370e-11    5.698320e-09    5.344790e-10   -1.550000e+00    9.937808e-01    4.984060e-01
    3.341369e+00    2.785764e+01    1.003245e+01    9.044485e+08    5.898855e-09    7.126565e-11    5.689840e-09    5.330660e-10   -1.540000e+00    9.937808e-01    4.900868e-01
    3.410312e+00    2.990094e+01    9.699435e+00    8.938512e+08    5.889730e-09    6.663980e-11    5.681020e-09    5.316835e-10   -1.530000e+00    9.937808e-01    4.817727e-01
    3.481135e+00    3.202713e+01    9.370930e+00    8.828846e+08    5.880575e-09    6.232375e-11    5.671855e-09    5.303275e-10   -1.520000e+00    9.937808e-01    4.734638e-01
    3.554002e+00    3.423523e+01    9.047045e+00    8.715749e+08    5.871375e-09    5.829650e-11    5.662325e-09    5.289935e-10   -1.510000e+00    9.937808e-01    4.651600e-01
    3.629074e+00    3.652482e+01    8.727900e+00    8.599486e+08    5.862100e-09    5.453835e-11    5.652425e-09    5.276775e-10   -1.500000e+00    9.937808e-01    4.568612e-01
    3.706523e+00    3.889615e+01    8.413595e+00    8.480297e+08    5.852715e-09    5.103085e-11    5.642135e-09    5.263765e-10   -1.490000e+00    9.937808e-01    4.485676e-01
    3.786530e+00    4.135014e+01    8.104225e+00    8.358383e+08    5.843200e-09    4.775670e-11    5.631435e-09    5.250850e-10   -1.480000e+00    9.937808e-01    4.402790e-01
    3.869279e+00    4.388838e+01    7.799885e+00    8.233934e+08    5.833525e-09    4.469987e-11    5.620315e-09    5.238005e-10   -1.470000e+00    9.937808e-01    4.319956e-01
    3.954971e+00    4.651325e+01    7.500655e+00    8.107126e+08    5.823655e-09    4.184533e-11    5.608750e-09    5.225180e-10   -1.460000e+00    9.937808e-01    4.237172e-01
    4.043810e+00    4.922765e+01    7.206615e+00    7.978103e+08    5.813565e-09    3.917908e-11    5.596710e-09    5.212335e-10   -1.450000e+00    9.937808e-01    4.154441e-01
    4.136019e+00    5.203536e+01    6.917835e+00    7.847002e+08    5.803220e-09    3.668810e-11    5.584180e-09    5.199430e-10   -1.440000e+00    9.937808e-01    4.071762e-01
    4.231828e+00    5.494069e+01    6.634390e+00    7.713949e+08    5.792585e-09    3.436029e-11    5.571120e-09    5.186420e-10   -1.430000e+00    9.937808e-01    3.989136e-01
    4.331487e+00    5.794874e+01    6.356345e+00    7.579035e+08    5.781635e-09    3.218435e-11    5.557515e-09    5.173265e-10   -1.420000e+00    9.937808e-01    3.906565e-01
    4.435258e+00    6.106514e+01    6.083765e+00    7.442368e+08    5.770325e-09    3.014984e-11    5.543315e-09    5.159920e-10   -1.410000e+00    9.937808e-01    3.824051e-01
    4.543425e+00    6.429625e+01    5.816705e+00    7.304023e+08    5.758620e-09    2.824701e-11    5.528500e-09    5.146335e-10   -1.400000e+00    9.937808e-01    3.741594e-01
    4.656293e+00    6.764913e+01    5.555225e+00    7.164063e+08    5.746490e-09    2.646684e-11    5.513020e-09    5.132470e-10   -1.390000e+00    9.937808e-01    3.659198e-01
    4.774179e+00    7.113147e+01    5.299385e+00    7.022558e+08    5.733885e-09    2.480093e-11    5.496835e-09    5.118270e-10   -1.380000e+00    9.937808e-01    3.576864e-01
