# sky130 pfet_01v8 gm/ID Processed Lookup Table
# Corner: sf
# Temperature: -40C
# W = 2.0 um
# L = 1.5 um (1500 nm)
# Columns: gm/id [1/V]  gm/gds [V/V]  id/W [A/m]  ft [Hz]  Cgg/W [F/m]  Cgd/W [F/m]  Cgs/W [F/m]  Cdb/W [F/m]  vgs [V]  vth [V]  vdsat [V]
# vdsat = BSIM4 saturation voltage (|VDS|_sat, positive); use for headroom / saturation / cascode-bias calculations
#           gm/id          gm/gds            id/W              ft           Cgg/W           Cgd/W           Cgs/W           Cdb/W             vgs             vth           vdsat
    2.780119e+00    1.457638e+01    1.068909e+01    5.529548e+08    8.553315e-09    2.638149e-10    8.061755e-09    8.142065e-10   -1.800000e+00    1.141740e+00    5.551957e-01
    2.834466e+00    1.589956e+01    1.039192e+01    5.491266e+08    8.537180e-09    2.461414e-10    8.056345e-09    8.110865e-10   -1.790000e+00    1.141740e+00    5.472095e-01
    2.888912e+00    1.733477e+01    1.010003e+01    5.449454e+08    8.521655e-09    2.296009e-10    8.050495e-09    8.080965e-10   -1.780000e+00    1.141740e+00    5.392251e-01
    2.944580e+00    1.888584e+01    9.809695e+00    5.404281e+08    8.506700e-09    2.141350e-10    8.044220e-09    8.052315e-10   -1.770000e+00    1.141740e+00    5.312425e-01
    3.001194e+00    2.055613e+01    9.522365e+00    5.355928e+08    8.492280e-09    1.996859e-10    8.037530e-09    8.024855e-10   -1.760000e+00    1.141740e+00    5.232616e-01
    3.058842e+00    2.234851e+01    9.238170e+00    5.304590e+08    8.478350e-09    1.861965e-10    8.030445e-09    7.998530e-10   -1.750000e+00    1.141740e+00    5.152824e-01
    3.117621e+00    2.426550e+01    8.957245e+00    5.250457e+08    8.464880e-09    1.736110e-10    8.022975e-09    7.973270e-10   -1.740000e+00    1.141740e+00    5.073048e-01
    3.177639e+00    2.630927e+01    8.679705e+00    5.193727e+08    8.451825e-09    1.618752e-10    8.015125e-09    7.949025e-10   -1.730000e+00    1.141740e+00    4.993288e-01
    3.239009e+00    2.848183e+01    8.405660e+00    5.134583e+08    8.439155e-09    1.509367e-10    8.006915e-09    7.925730e-10   -1.720000e+00    1.141740e+00    4.913544e-01
    3.301853e+00    3.078506e+01    8.135215e+00    5.073211e+08    8.426825e-09    1.407452e-10    7.998345e-09    7.903325e-10   -1.710000e+00    1.141740e+00    4.833815e-01
    3.366298e+00    3.322085e+01    7.868465e+00    5.009782e+08    8.414800e-09    1.312525e-10    7.989420e-09    7.881750e-10   -1.700000e+00    1.141740e+00    4.754101e-01
    3.432478e+00    3.579121e+01    7.605490e+00    4.944455e+08    8.403045e-09    1.224129e-10    7.980140e-09    7.860950e-10   -1.690000e+00    1.141740e+00    4.674401e-01
    3.500533e+00    3.849833e+01    7.346375e+00    4.877385e+08    8.391515e-09    1.141827e-10    7.970510e-09    7.840860e-10   -1.680000e+00    1.141740e+00    4.594715e-01
    3.570610e+00    4.134468e+01    7.091190e+00    4.808704e+08    8.380185e-09    1.065206e-10    7.960530e-09    7.821430e-10   -1.670000e+00    1.141740e+00    4.515043e-01
    3.642863e+00    4.433316e+01    6.840000e+00    4.738545e+08    8.369010e-09    9.938810e-11    7.950190e-09    7.802590e-10   -1.660000e+00    1.141740e+00    4.435385e-01
    3.717456e+00    4.746700e+01    6.592865e+00    4.667022e+08    8.357960e-09    9.274840e-11    7.939490e-09    7.784300e-10   -1.650000e+00    1.141740e+00    4.355740e-01
    3.794555e+00    5.075011e+01    6.349845e+00    4.594243e+08    8.346995e-09    8.656720e-11    7.928415e-09    7.766490e-10   -1.640000e+00    1.141740e+00    4.276108e-01
    3.874344e+00    5.418682e+01    6.110985e+00    4.520304e+08    8.336080e-09    8.081245e-11    7.916960e-09    7.749110e-10   -1.630000e+00    1.141740e+00    4.196489e-01
